주문일자,주문번호,상품명,카테고리,수량,단가,매출,고객유형,채널
2026-02-16,ORD-2026-0038,노트북 파우치 15인치,액세서리,25,35000,875000,기업,온라인
2026-02-17,ORD-2026-0039,무선 이어폰 프로,오디오,1,89000,89000,일반,온라인
2026-02-18,ORD-2026-0040,블루투스 스피커 맥스,오디오,3,129000,387000,일반,온라인
2026-02-19,ORD-2026-0041,급속 충전 케이블,액세서리,10,15000,150000,일반,온라인
2026-02-20,ORD-2026-0042,스마트워치 밴드,액세서리,5,19000,95000,일반,오프라인
2026-02-23,ORD-2026-0043,무선 이어폰 프로,오디오,8,89000,712000,일반,온라인
2026-02-25,ORD-2026-0044,급속 충전 케이블,액세서리,4,15000,60000,일반,온라인
2026-02-26,ORD-2026-0045,USB-C 허브 7in1,액세서리,7,49000,343000,일반,온라인
2026-02-27,ORD-2026-0046,무선 이어폰 프로,오디오,1,89000,89000,일반,온라인
2026-02-28,ORD-2026-0047,스마트워치 밴드,액세서리,3,19000,57000,일반,오프라인
2026-03-02,ORD-2026-0048,무선 이어폰 프로,오디오,2,89000,178000,일반,온라인
2026-03-03,ORD-2026-0049,블루투스 스피커 맥스,오디오,2,129000,258000,일반,온라인
2026-03-04,ORD-2026-0050,스마트워치 밴드,액세서리,8,19000,152000,일반,온라인
2026-03-05,ORD-2026-0051,USB-C 허브 7in1,액세서리,4,49000,196000,일반,온라인
2026-03-06,ORD-2026-0052,무선 이어폰 프로,오디오,3,89000,267000,일반,온라인
2026-03-08,ORD-2026-0053,급속 충전 케이블,액세서리,5,15000,75000,일반,온라인
2026-03-10,ORD-2026-0055,노트북 파우치 15인치,액세서리,3,35000,105000,일반,온라인
2026-03-12,ORD-2026-0056,블루투스 스피커 맥스,오디오,4,129000,516000,일반,오프라인
2026-03-13,ORD-2026-0057,스마트워치 밴드,액세서리,10,19000,190000,일반,온라인
2026-03-14,ORD-2026-0058,USB-C 허브 7in1,액세서리,6,49000,294000,일반,온라인
2026-03-15,ORD-2026-0059,블루투스 스피커 맥스,오디오,1,129000,5000000,기업,오프라인
2026-03-17,ORD-2026-0060,무선 이어폰 프로,오디오,4,89000,356000,일반,온라인
2026-03-19,ORD-2026-0061,급속 충전 케이블,액세서리,8,15000,120000,일반,온라인
2026-03-21,ORD-2026-0062,무선 이어폰 프로,오디오,15,89000,1335000,기업,오프라인
2026-03-23,ORD-2026-0063,스마트워치 밴드,액세서리,4,19000,76000,일반,온라인
2026-03-25,ORD-2026-0064,USB-C 허브 7in1,액세서리,3,49000,147000,일반,온라인
2026-03-27,ORD-2026-0065,무선 이어폰 프로,오디오,6,89000,534000,일반,온라인
2026-03-29,ORD-2026-0066,노트북 파우치 15인치,액세서리,2,35000,70000,일반,온라인
2026-03-31,ORD-2026-0067,무선 이어폰 프로,오디오,1,89000,89000,일반,오프라인
